AppUsageEventEntity-packageName,category,abstract
com.samsung.android.securitylogagent,Tools,Tools
com.samsung.android.service.livedrawing,Tools,Tools
com.samsung.android.sidegesturepad,Tools,Tools
com.samsung.android.sm,Tools,Tools
com.samsung.android.themestore,Tools,Tools
com.samsung.android.timezone.autoupdate_O,Tools,Tools
com.samsung.android.visionintelligence,Tools,Tools
com.samsung.android.voc,Tools,Tools
com.samsung.networkui,Tools,Tools
com.samsung.preloadapp,Tools,Tools
com.samsung.voiceserviceplatform,Tools,Tools
com.sec.android.app.SecSetupWizard,Tools,Tools
com.sec.android.app.apex,Tools,Tools
com.sec.android.app.billing,Tools,Tools
com.sec.android.app.clockpackage,Tools,Tools
com.sec.android.app.dictionary,Tools,Tools
com.sec.android.app.dmb,Tools,Tools
com.sec.android.app.myfiles,Tools,Tools
com.sec.android.app.popupcalculator,Tools,Tools
com.sec.android.app.samsungapps,Tools,Tools
com.sec.android.app.soundalive,Tools,Tools
com.sec.android.app.taskmanager,Tools,Tools
com.sec.android.app.voicenote,Tools,Tools
com.sec.android.app.wfdbroker,Tools,Tools
com.sec.android.daemonapp,Tools,Tools
com.sec.android.easyMover,Tools,Tools
com.sec.android.easyMover.Agent,Tools,Tools
com.sec.android.emergencylauncher,Tools,Tools
com.sec.android.emergencymode.service,Tools,Tools
com.sec.android.inputmethod,Tools,Tools
com.sec.android.preloadinstaller,Tools,Tools
com.sec.android.wallpapercropper2,Tools,Tools
com.skp.clink.invoke,Tools,Tools
com.skt.prod.phone.phonemodesetupwizard,Tools,Tools
com.skt.prod.phonebook,Tools,Tools
com.skt.prod.tphonelite,Tools,Tools
com.skt.t_smart_charge,Tools,Tools
com.sktechx.xviewer,Tools,Tools
com.sktelecom.tsmartpay,Tools,Tools
com.smhk.boomerang,Tools,Tools
com.sonyericsson.organizer,Tools,Tools
com.sonyericsson.pws,Tools,Tools
com.sonyericsson.soundenhancement,Tools,Tools
com.sonyericsson.usbux,Tools,Tools
com.sonyericsson.xhs,Tools,Tools
com.sonymobile.entrance,Tools,Tools
com.sonymobile.home,Tools,Tools
com.sonymobile.smartcharger,Tools,Tools
com.sonymobile.storagechecker,Tools,Tools
com.sonymobile.superstamina,Tools,Tools
com.sonymobile.tvout.wifidisplay,Tools,Tools
com.sonymobile.wifi,Tools,Tools
com.surpax.ledflashlight.panel,Tools,Tools
com.tarkarn.denialcall,Tools,Tools
com.tourbaksaapp.app,Tools,Tools
com.tv.remote.controletv.tv,Tools,Tools
com.wssyncmldm,Tools,Tools
devian.tubemate.v3,Tools,Tools
kr.pe.javarss.barcodewallet2,Tools,Tools
org.cohortor.gstrings,Tools,Tools
org.swadhin.app,Tools,Tools
com.espn.score_center,Sports,Tools
com.uplus.baseballhdtv,Sports,Tools
kr.co.kbo.redss.app,Sports,Tools
kr.co.psynet,Sports,Tools
atommerce.mindcafe,Social,Tools
com.btb.minihompy,Social,Tools
com.buzzvil.adhours,Social,Tools
com.cashslide,Social,Tools
com.dcinside.app,Social,Tools
com.facebook.katana,Social,Tools
com.instagram.android,Social,Tools
com.kakao.story,Social,Tools
com.kickstarter.kickstarter,Social,Tools
com.nhn.android.band,Social,Tools
com.nhn.android.blog,Social,Tools
com.nhn.android.navercafe,Social,Tools
com.ppomppu.android,Social,Tools
com.snapchat.android,Social,Tools
com.towneers.www,Social,Tools
com.tumblr,Social,Tools
com.twitter.android,Social,Tools
kr.co.vcnc.android.couple,Social,Tools
kr.co.vcnc.betweendate.date,Social,Tools
net.daum.android.cafe,Social,Tools
net.daum.android.tistoryapp,Social,Tools
com.CouponChart,Shopping,Shopping
com.ak.android.akmall,Shopping,Shopping
com.alibaba.aliexpresshd,Shopping,Shopping
com.application_4u.qrcode.barcode,Shopping,Shopping
com.buzzni.android.subapp.shoppingmoa,Shopping,Shopping
com.cafe24.ec.plusandar01,Shopping,Shopping
com.cjoshppingphone,Shopping,Shopping
com.coupang.mobile,Shopping,Shopping
com.croquis.zigzag,Shopping,Shopping
com.ebay.kr.auction,Shopping,Shopping
com.ebay.kr.g9,Shopping,Shopping
com.ebay.kr.gmarket,Shopping,Shopping
com.elevenst,Shopping,Shopping
com.elevenst.deals,Shopping,Shopping
com.himart.main,Shopping,Shopping
com.hmallapp,Shopping,Shopping
com.hnsmall,Shopping,Shopping
com.interpark.shop,Shopping,Shopping
com.looket.soim,Shopping,Shopping
com.lotte.lottedutyfree,Shopping,Shopping
com.lottemart.lmscp,Shopping,Shopping
com.makeshop.powerapp.jinsence81,Shopping,Shopping
com.makeshop.powerapp.xexymix,Shopping,Shopping
com.mozzet.lookpin,Shopping,Shopping
com.nsmobilehub,Shopping,Shopping
com.omnitel.android.lottewebview,Shopping,Shopping
com.pub.fm,Shopping,Shopping
com.shilladutyfree,Shopping,Shopping
com.socialapps.homeplus,Shopping,Shopping
com.tmon,Shopping,Shopping
com.wemakeprice,Shopping,Shopping
kr.backpackr.me.idus,Shopping,Shopping
kr.co.emart.emartmall,Shopping,Shopping
kr.co.lgfashion.lgfashionshop.v28,Shopping,Shopping
kr.co.mercurykorea,Shopping,Shopping
kr.co.ssg,Shopping,Shopping
net.giosis.shopping.hub,Shopping,Shopping
sk.com.shopping,Shopping,Shopping
tv.jamlive,Shopping,Shopping
com.adobe.reader,Productivity,Productivity/Business
com.alphainventor.filemanager,Productivity,Productivity/Business
com.android.hotwordenrollment.okgoogle,Productivity,Productivity/Business
com.dropbox.android,Productivity,Productivity/Business
com.estmob.android.sendanywhere,Productivity,Productivity/Business
com.evernote,Productivity,Productivity/Business
com.google.android.apps.docs,Productivity,Productivity/Business
com.google.android.apps.docs.editors.docs,Productivity,Productivity/Business
com.google.android.apps.docs.editors.sheets,Productivity,Productivity/Business
com.google.android.apps.docs.editors.slides,Productivity,Productivity/Business
com.google.android.apps.m4b,Productivity,Productivity/Business
com.google.android.calendar,Productivity,Productivity/Business
com.google.android.keep,Productivity,Productivity/Business
com.imoxion.sensmobile,Productivity,Productivity/Business
com.infraware.office.link,Productivity,Productivity/Business
com.intsig.camscanner,Productivity,Productivity/Business
com.jushine.cstandard,Productivity,Productivity/Business
com.microsoft.office.excel,Productivity,Productivity/Business
com.microsoft.office.onenote,Productivity,Productivity/Business
com.microsoft.office.powerpoint,Productivity,Productivity/Business
com.microsoft.office.word,Productivity,Productivity/Business
com.microsoft.skydrive,Productivity,Productivity/Business
com.naver.nozzle,Productivity,Productivity/Business
com.nhn.android.navermemo,Productivity,Productivity/Business
com.nhn.android.ndrive,Productivity,Productivity/Business
com.noknok.android.mfac.service,Productivity,Productivity/Business
com.nsds.myphoneandme,Productivity,Productivity/Business
com.samsung.android.app.notes,Productivity,Productivity/Business
com.samsung.android.email.provider,Productivity,Productivity/Business
com.samsung.android.galaxycontinuity,Productivity,Productivity/Business
com.skt.prod.cloud,Productivity,Productivity/Business
com.sktelecom.tguard,Productivity,Productivity/Business
com.socialnmobile.dictapps.notepad.color.note,Productivity,Productivity/Business
com.teamviewer.teamviewer.market.mobile,Productivity,Productivity/Business
com.tf.thinkdroid.viewer,Productivity,Productivity/Business
com.truemobile.ipdisk,Productivity,Productivity/Business
com.vmware.beacon,Productivity,Productivity/Business
kr.co.rinasoft.howuse,Productivity,Productivity/Business
lg.uplusbox,Productivity,Productivity/Business
org.isoron.uhabits,Productivity,Productivity/Business
com.alensw.PicFolder,Photography,Photography
com.android.gallery3d,Photography,Photography
com.artifyapp.timestamp,Photography,Photography
com.aviary.android.feather,Photography,Photography
com.campmobile.snow,Photography,Photography
com.commsource.beautyplus,Photography,Photography
com.cyworld.camera,Photography,Photography
com.fotoable.enstyle,Photography,Photography
com.google.android.apps.photos,Photography,Photography
com.kakao.cheez,Photography,Photography
com.lge.camera,Photography,Photography
com.lge.phonemanagement,Photography,Photography
com.linecorp.b612.android,Photography,Photography
com.linecorp.foodcam.android,Photography,Photography
com.lyrebirdstudio.collage,Photography,Photography
com.oss.mcam,Photography,Photography
com.photofunia.android,Photography,Photography
com.sec.android.app.camera,Photography,Photography
com.sec.android.app.camera.avatarauth,Photography,Photography
com.sec.android.app.vepreload,Photography,Photography
com.sec.android.app.videoplayer,Photography,Photography
com.sec.android.gallery3d,Photography,Photography
com.sec.android.mimage.photoretouching,Photography,Photography
com.sonyericsson.album,Photography,Photography
com.sonyericsson.android.camera,Photography,Photography
com.sonymobile.moviecreator.rmm,Photography,Photography
com.ster.photo.surgery,Photography,Photography
ph.app.instasave,Photography,Photography
photoeditor.layout.collagemaker,Photography,Photography
com.sec.android.app.launcher,Personalization,Tools
com.amanefactory.totsukitoka,Parenting,Lifestyle
com.moms.momsdiary,Parenting,Lifestyle 
com.bambuna.podcastaddict,News/Magazines,Media/Entertainment
com.clem.nhkradio,News/Magazines,Media/Entertainment
com.cnn.mobile.android.phone,News/Magazines,Media/Entertainment
com.medium.reader,News/Magazines,Media/Entertainment
com.sony.nfx.app.sfrc,News/Magazines,Media/Entertainment
flipboard.boxer.app,News/Magazines,Media/Entertainment
fm.castbox.audiobook.radio.podcast,News/Magazines,Media/Entertainment
wsj.reader_sp,News/Magazines,Media/Entertainment
com.appmind.radios.jp,Music/Audio,Music/Audio
com.behringer.android.control.app.m32q,Music/Audio,Music/Audio
com.cocoradio.country.jp,Music/Audio,Music/Audio
com.fundevs.app.mediaconverter,Music/Audio,Music/Audio
com.gomtv.gomaudio,Music/Audio,Music/Audio
com.google.android.apps.youtube.music,Music/Audio,Music/Audio
com.google.android.music,Music/Audio,Music/Audio
com.iloen.melon,Music/Audio,Music/Audio
com.jaybirdsport.audio,Music/Audio,Music/Audio
com.kakao.music,Music/Audio,Music/Audio
com.lge.music,Music/Audio,Music/Audio
com.mnet.app,Music/Audio,Music/Audio
com.naver.vibe,Music/Audio,Music/Audio
com.nhn.android.music,Music/Audio,Music/Audio
com.samsung.radio,Music/Audio,Music/Audio
com.sec.android.app.music,Music/Audio,Music/Audio
com.shazam.android,Music/Audio,Music/Audio
com.soribada.android,Music/Audio,Music/Audio
com.soundbrenner.pulse,Music/Audio,Music/Audio
fm.qingting.qtradio,Music/Audio,Music/Audio
kr.ebs.bandi,Music/Audio,Music/Audio
radiotime.player,Music/Audio,Music/Audio
skplanet.musicmate,Music/Audio,Music/Audio
tunein.player,Music/Audio,Music/Audio
ch.sbb.mobile.android.b2c,Maps/Navigation,Travel
com.astroframe.seoulbus,Maps/Navigation,Travel
com.djbus,Maps/Navigation,Travel
com.ebcard.bustago,Maps/Navigation,Travel
com.greencar,Maps/Navigation,Travel
