window size,number of subwindows,percentage of missing features
40MIN,2,1.9481956330740944
40MIN,4,1.8911685268946665
40MIN,8,1.8595229572744134
80MIN,2,2.315577104552406
80MIN,4,2.18403241026976
80MIN,8,2.113745078259738
160MIN,2,3.291220591585045
160MIN,4,2.9689482932543685
160MIN,8,2.83571556408838
